,Song,lenght,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,tempo,beat,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,genre
0,Breaking_bad,18.04190476190476,0.6066778,1724.2482826275245,2457.9712046452323,3805.2701090233118,0.08096511,0.026026175643086815,123.046875,0.07061675,-274.63733,113.233955,8.027579,41.754524,6.2411757,14.467341,-6.1248016,17.595718,-1.3800576,6.4432516,-1.4611251,13.064988,0.4448421,7.1416526,-1.8566544,7.9114943,-2.3032055,2.3478775,-0.13446206,0.056747317,drama
1,Euphoria,70.79764172335601,0.32405847,1509.0570543870804,2255.377052586058,2635.3653727173514,0.21460225,0.0295566672046647,129.19921875,0.09316899,-161.33961,132.32492,-10.123459,9.916463,-0.5653469,11.114403,-6.7768416,6.4310107,-13.56774,-5.1411557,-1.358189,2.322693,-10.201549,-3.3154018,-6.908276,4.1711335,-4.884076,-0.35475302,0.19611873,-4.870142,drama
2,Gossip_girl,12.469115646258503,0.50007063,2615.713633767115,2954.6956938931803,5330.359147892442,0.104709044,0.06416242732558139,103.359375,0.13908817,-137.91046,97.692894,-14.159046,20.21547,-6.4202633,14.248572,-5.511131,12.388307,-3.710921,11.5214,-8.038747,7.6190815,-5.0543585,8.8744,-3.6398878,7.9897733,-0.7387473,5.845138,-2.1648784,4.7306066,drama
3,Doutlander,72.70167800453515,0.3982027,2262.388167508981,2820.101929312367,4598.0350948152845,0.08636823,0.05023270347676832,117.45383522727273,0.14045607,-217.10175,107.44313,2.1448452,25.57564,3.5357172,6.7474365,-4.3014154,9.593795,-7.512391,10.71886,-12.215542,3.8984628,-9.944083,1.4357691,-7.1867304,2.5017538,-2.499355,2.3335814,-4.0271716,5.2717257,drama
4,Grey_anatomy,27.93360544217687,0.34372666,2089.265683680721,2701.2049822488416,4465.048779438876,0.017724652,0.05094353707935189,123.046875,0.13812831,-351.466,113.36243,8.723533,22.925785,-11.440248,8.835173,-10.043488,4.157614,-7.8759823,9.926516,-7.596777,5.4976864,-7.935298,7.4350724,-6.467572,5.0195394,-4.574422,5.4151373,-2.6438215,3.8096578,drama
5,Game_of_thrones,101.70340136054422,0.52205926,1398.446765119737,2409.7004064029366,2580.5310990736643,0.106001824,0.022848062435795,123.046875,0.15131678,-175.54665,144.417,-4.70907,32.631947,7.6077666,10.1761055,-3.7974386,11.314131,-2.164848,4.8805995,-5.0036073,5.9850683,-0.9242498,-1.0209957,-3.7792857,3.7113838,-2.3685842,0.9222376,-3.3171687,-0.80472153,action
6,House,32.46149659863946,0.58546823,2110.775184531424,2849.58199898988,4601.15356227096,0.16176069,0.038228389234000716,151.99908088235293,0.21141501,-116.495804,119.54215,-5.6860056,25.912918,3.3094144,19.04792,-2.569436,15.338389,-3.8889275,8.449883,-5.6632714,10.13754,-3.3949313,4.7750096,-4.9039693,4.3352075,-6.301787,0.95607126,-4.115773,-0.19390778,drama
7,The_crown,71.0530612244898,0.45799893,820.8416814376113,1329.6620076229178,1551.8927778727946,0.05599538,0.017660927799787618,123.046875,0.07765151,-323.5976,159.12335,2.3412468,28.74289,9.665775,11.587146,3.7454448,6.3080297,-0.3952001,4.3122272,-1.6802998,1.82688,-1.8042248,0.02472855,-0.82665515,3.4941387,2.4266427,4.890602,0.70568055,4.247326,drama
8,The_office,32.48471655328798,0.45076644,1945.106194106605,2653.5727135947473,4176.795179360933,0.14048538,0.04035586091014648,86.1328125,0.13573058,-148.33243,123.474686,-5.773242,38.083004,-1.4703579,18.346626,-10.450482,12.86814,-3.1805894,8.872261,2.117776,15.80856,-7.2802625,9.752365,-2.4301128,6.5374036,-7.2298536,2.1485236,-4.1150856,3.8755004,comedy
9,Modern_family,11.795736961451247,0.52731013,2727.8414451655512,3267.3789678011085,5887.139622511062,0.092350625,0.059539104750491643,117.45383522727273,0.17847557,-143.87582,110.203156,-33.1411,26.408903,-8.333869,16.36794,-6.34121,9.676981,-4.0210824,12.5381155,-2.5530038,10.573756,-6.7497387,7.0285583,-5.3713903,3.4448683,-7.579263,4.0926456,-5.8141,0.4998509,comedy
